index	AsianG_Controls	BlackG_Controls	ChineseG_Controls	MixedG_Controls	OtherEthnicityG_Controls	WhiteG_Controls	AsianG_Cases	BlackG_Cases	ChineseG_Cases	MixedG_Cases	OtherEthnicityG_Cases	WhiteG_Cases	index	AsianG_Prevalence	BlackG_Prevalence	ChineseG_Prevalence	MixedG_Prevalence	OtherEthnicityG_Prevalence	WhiteG_Prevalence	index	African_Controls	Any other Asian background_Controls	Any other Black background_Controls	Any other mixed background_Controls	Any other white background_Controls	Asian or Asian British_Controls	Bangladeshi_Controls	Black or Black British_Controls	British_Controls	Caribbean_Controls	Chinese_Controls	Do not know_Controls	Indian_Controls	Irish_Controls	Mixed_Controls	Other ethnic group_Controls	Pakistani_Controls	Prefer not to answer_Controls	White_Controls	White and Asian_Controls	White and Black African_Controls	White and Black Caribbean_Controls	African_Cases	Any other Asian background_Cases	Any other Black background_Cases	Any other mixed background_Cases	Any other white background_Cases	Asian or Asian British_Cases	Bangladeshi_Cases	Black or Black British_Cases	British_Cases	Caribbean_Cases	Chinese_Cases	Do not know_Cases	Indian_Cases	Irish_Cases	Mixed_Cases	Other ethnic group_Cases	Pakistani_Cases	Prefer not to answer_Cases	White_Cases	White and Asian_Cases	White and Black African_Cases	White and Black Caribbean_Cases	index	African_Prevalence	Any other Asian background_Prevalence	Any other Black background_Prevalence	Any other mixed background_Prevalence	Any other white background_Prevalence	Asian or Asian British_Prevalence	Bangladeshi_Prevalence	Black or Black British_Prevalence	British_Prevalence	Caribbean_Prevalence	Chinese_Prevalence	Do not know_Prevalence	Indian_Prevalence	Irish_Prevalence	Mixed_Prevalence	Other ethnic group_Prevalence	Pakistani_Prevalence	Prefer not to answer_Prevalence	White_Prevalence	White and Asian_Prevalence	White and Black African_Prevalence	White and Black Caribbean_Prevalence	PheCode	Phenotype	Total_Prevalence	Total_Cases	Total_Controls
0	9521.0	7804.0	1546.0	2875.0	6182.0	456115.0	40.0	30.0	4.0	6.0	30.0	1394.0	Status	0.00418366279677858	0.0038294613224406433	0.0025806451612903226	0.0020826102047900035	0.004829362524146813	0.003046934595822159	0	3282.0	1753.0	120.0	1007.0	15909.0	40.0	219.0	27.0	426994.0	4375.0	1546.0	211.0	5752.0	12671.0	46.0	4391.0	1757.0	1580.0	541.0	811.0	409.0	602.0	15.0	5.0		1.0	39.0		2.0		1311.0	15.0	4.0	1.0	25.0	43.0		21.0	8.0	8.0	1.0	1.0	2.0	2.0	Status	0.004549590536851683	0.002844141069397042	0.0	0.000992063492063492	0.0024454477050413845	0.0	0.00904977375565611	0.0	0.0030609028612787617	0.003416856492027335	0.0025806451612903226	0.0047169811320754715	0.004327505625757314	0.003382098474123014	0.0	0.004759746146872167	0.004532577903682719	0.005037783375314861	0.0018450184501845018	0.0012315270935960591	0.004866180048661801	0.0033112582781456954	480.1	Bacterial pneumonia	0.003097537416563175	1504	484043
0	9532.0	7759.0	1536.0	2893.0	6218.0	459581.0	17.0	11.0	3.0	4.0	6.0	333.0	Status	0.0017802911299612525	0.0014157014157014157	0.001949317738791423	0.001380738695201933	0.0009640102827763496	0.0007240484090503877	0	3248.0	1762.0	120.0	1011.0	15927.0	43.0	233.0	26.0	430255.0	4365.0	1536.0	210.0	5723.0	12853.0	47.0	4407.0	1771.0	1601.0	546.0	816.0	415.0	604.0	4.0	3.0			7.0				309.0	7.0	3.0	1.0	10.0	17.0		3.0	4.0	2.0		2.0	1.0	1.0	Status	0.0012300123001230013	0.0016997167138810198	0.0	0.0	0.00043931216267101796	0.0	0.0	0.0	0.0007176633438931262	0.0016010978956999085	0.001949317738791423	0.004739336492890996	0.0017442874585731729	0.001320901320901321	0.0	0.0006802721088435374	0.0022535211267605635	0.0012476606363069245	0.0	0.0024449877750611247	0.002403846153846154	0.001652892561983471	369.0	Infection of the eye	0.0007665615206612925	374	487519
0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0	20.0	11.0	3.0	5.0	4.0	706.0	Status	0.0021547080370609784	0.0014452765733806332	0.0019710906701708277	0.0017618040873854828	0.000657354149548069	0.0015630431076662172	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0	2.0	1.0		2.0	17.0		2.0		674.0	9.0	3.0		12.0	14.0		3.0	5.0	1.0	1.0	2.0		1.0	Status	0.0006279434850863422	0.0005767012687427913	0.0	0.0020242914979757085	0.0010798450104808487	0.0	0.009302325581395349	0.0	0.0015937347779411974	0.002101330842867149	0.0019710906701708277	0.0	0.0021470746108427268	0.0011202688645274865	0.0	0.0006954102920723226	0.002937720329024677	0.0006414368184733803	0.00186219739292365	0.0025031289111389237	0.0	0.0016666666666666668	38.2	Gram positive septicemia	0.0015636057709369736	749	478272
0	8956.0	7384.0	1516.0	2751.0	5925.0	432248.0					1.0	12.0	Status	0.0	0.0	0.0	0.0	0.00016874789065136686	2.7761069726553464e-05	0	3155.0	1686.0	112.0	953.0	15345.0	38.0	216.0	25.0	404214.0	4092.0	1516.0	199.0	5374.0	12169.0	45.0	4212.0	1642.0	1514.0	520.0	784.0	391.0	578.0									12.0							1.0							Status	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.968636356889463e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00023736055067647758	0.0	0.0	0.0	0.0	0.0	0.0	711.0	Arthropathy associated with infections	2.8335218715194e-05	13	458780
0	9713.0	7942.0	1553.0	2909.0	6339.0	464831.0	8.0	6.0	2.0	5.0	4.0	413.0	Status	0.0008229606007612386	0.000754906894816306	0.0012861736334405145	0.0017158544955387784	0.0006306164275579379	0.0008877062358676307	0	3348.0	1786.0	122.0	1012.0	16121.0	42.0	233.0	26.0	435100.0	4446.0	1553.0	214.0	5856.0	13049.0	48.0	4486.0	1796.0	1639.0	561.0	818.0	419.0	612.0	2.0	1.0		1.0	9.0		1.0		389.0	4.0	2.0		3.0	14.0		2.0	3.0	2.0	1.0	3.0	1.0		Status	0.0005970149253731343	0.0005595970900951316	0.0	0.0009871668311944718	0.0005579665220086795	0.0	0.004273504273504274	0.0	0.0008932487387741137	0.0008988764044943821	0.0012861736334405145	0.0	0.0005120327700972862	0.0010717293117966777	0.0	0.000445632798573975	0.0016675931072818232	0.001218769043266301	0.0017793594306049821	0.0036540803897685747	0.002380952380952381	0.0	529.1	Glossitis	0.0008871335257481392	438	493287
0	9772.0	7966.0	1566.0	2931.0	6355.0	467449.0	94.0	80.0	3.0	26.0	67.0	4808.0	Status	0.009527670788566795	0.009942828734775044	0.0019120458891013384	0.00879269529928982	0.010432886951105575	0.010180897265683728	0	3355.0	1797.0	123.0	1021.0	16196.0	43.0	231.0	27.0	437616.0	4461.0	1566.0	217.0	5884.0	13074.0	49.0	4506.0	1817.0	1632.0	563.0	826.0	421.0	614.0	27.0	11.0		11.0	122.0		5.0		4551.0	53.0	3.0		60.0	128.0		38.0	18.0	29.0	7.0	5.0	4.0	6.0	Status	0.007983441750443524	0.006084070796460177	0.0	0.01065891472868217	0.0074764064223556805	0.0	0.0211864406779661	0.0	0.010292491298536526	0.011741249446167478	0.0019120458891013384	0.0	0.010094212651413189	0.009695500681714892	0.0	0.008362676056338027	0.009809264305177113	0.017459361830222758	0.012280701754385965	0.006016847172081829	0.009411764705882352	0.00967741935483871	994.2	Sepsis	0.010133362069137546	5078	496039
0	9844.0	7947.0	1569.0	2945.0	6389.0	471499.0	1.0				1.0	63.0	Status	0.00010157440325038091	0.0	0.0	0.0	0.00015649452269170578	0.00013359855119793367	0	3288.0	1807.0	123.0	1028.0	16287.0	43.0	236.0	26.0	441460.0	4510.0	1569.0	217.0	5929.0	13182.0	49.0	4519.0	1829.0	1653.0	570.0	831.0	421.0	616.0					1.0				58.0				1.0	4.0		1.0							Status	0.0	0.0	0.0	0.0	6.139489194499017e-05	0.0	0.0	0.0	0.0001313649726624962	0.0	0.0	0.0	0.00016863406408094435	0.0003033520400424693	0.0	0.00022123893805309734	0.0	0.0	0.0	0.0	0.0	0.0	130.0	Spirochetal infection	0.00012993295459542875	65	500193
0	9683.0	7834.0	1527.0	2911.0	6239.0	464778.0	87.0	79.0	2.0	22.0	56.0	3502.0	Status	0.008904810644831116	0.009983571338304057	0.0013080444735120995	0.007500852369587453	0.008895949166004766	0.007478431707525412	0	3273.0	1781.0	120.0	1012.0	16015.0	43.0	231.0	26.0	435212.0	4415.0	1527.0	212.0	5854.0	12990.0	49.0	4403.0	1774.0	1624.0	561.0	822.0	417.0	611.0	33.0	13.0	1.0	10.0	97.0		2.0		3327.0	45.0	2.0	1.0	47.0	75.0		44.0	25.0	11.0	3.0	4.0	2.0	6.0	Status	0.009981851179673321	0.007246376811594203	0.008264462809917356	0.009784735812133072	0.0060203574975173785	0.0	0.008583690987124463	0.0	0.007586554445556723	0.010089686098654708	0.0013080444735120995	0.004694835680751174	0.007964751736993729	0.0057405281285878304	0.0	0.0098943107713065	0.013896609227348526	0.00672782874617737	0.005319148936170213	0.004842615012106538	0.00477326968973747	0.009724473257698542	79.0	Viral infection	0.007545498469962957	3748	492972
0	9262.0	7600.0	1519.0	2833.0	6081.0	450977.0			1.0	1.0		29.0	Status	0.0	0.0	0.0006578947368421052	0.00035285815102328866	0.0	6.430069666478938e-05	0	3183.0	1733.0	119.0	986.0	15726.0	42.0	213.0	24.0	422232.0	4274.0	1519.0	212.0	5577.0	12483.0	49.0	4311.0	1697.0	1558.0	536.0	797.0	402.0	599.0				1.0	2.0				25.0		1.0			2.0									Status	0.0	0.0	0.0	0.0010131712259371835	0.0001271617497456765	0.0	0.0	0.0	5.920564963991124e-05	0.0	0.0006578947368421052	0.0	0.0	0.00016019223067681218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	Diseases due to other mycobacteria	6.481247242856516e-05	31	478272
0	9866.0	8046.0	1569.0	2957.0	6422.0	472252.0						5.0	Status	0.0	0.0	0.0	0.0	0.0	1.058745555915529e-05	0	3382.0	1808.0	123.0	1032.0	16318.0	43.0	236.0	27.0	442162.0	4514.0	1569.0	217.0	5944.0	13202.0	49.0	4544.0	1835.0	1661.0	570.0	831.0	425.0	620.0									5.0														Status	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1307944735812487e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	657.0	Infections specific to the perinatal period	9.977709796315032e-06	5	501112
